FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
D,14,3,4,2,12,8,7,0,0,0,0,0,1.4,4.5,8.5
H,11,4,9,2,12,11,6,3,0,0,0,0,1.8,3.6,4.5
H,6,12,4,6,12,8,3,5,2,2,0,0,2.5,3.4,2.75
A,20,12,11,8,11,14,5,3,2,2,0,0,2,3.4,3.8
D,9,6,3,3,9,14,4,3,2,4,0,1,2.38,3.25,3.1
H,15,14,10,7,10,11,7,3,1,4,0,1,4.2,3.5,1.91
H,8,10,4,6,17,8,6,4,0,1,0,0,2.2,3.3,3.4
H,20,9,15,6,4,6,7,3,1,2,0,0,1.17,7,17
A,12,5,4,3,16,11,7,1,2,2,0,0,6,3.75,1.62
H,16,12,7,7,12,11,6,8,1,2,0,0,4.33,3.6,1.83
H,23,7,11,5,11,14,1,5,0,2,0,0,1.25,5.5,13
A,7,19,3,11,10,7,1,9,1,0,1,0,2.9,3.4,2.4
H,11,11,6,5,8,10,2,3,1,0,0,0,1.5,4.33,6.5
H,20,14,11,11,12,7,8,8,0,1,0,0,1.29,5.5,11
D,13,6,4,4,15,14,6,2,0,2,0,0,2.25,3.4,3.2
A,14,12,9,8,11,9,10,3,0,0,0,0,2.1,3.4,3.5
H,10,7,7,6,13,17,5,4,2,4,0,0,2.1,3.3,3.6
D,18,10,10,5,8,7,7,5,1,2,0,0,1.5,4.33,6.5
D,15,11,8,5,10,7,4,4,1,0,0,0,3.1,3.4,2.3
D,7,16,4,6,9,9,0,11,2,0,0,0,3.5,3.4,2.1
H,19,9,12,5,12,3,8,3,2,1,0,0,1.18,7,15
D,14,4,10,3,11,7,8,0,1,1,1,0,2.2,3.3,3.4
D,15,10,9,4,7,12,4,2,1,0,1,0,1.36,5,8.5
H,14,12,8,5,11,15,6,3,1,4,0,0,3,3.3,2.38
H,17,14,12,13,12,5,6,6,0,0,0,0,2.5,3.25,2.88
D,9,16,5,8,13,11,2,1,1,2,0,0,2.25,3.25,3.3
A,17,11,8,7,12,7,10,2,2,2,0,0,2,3.5,3.75
D,16,13,6,9,6,20,10,6,1,4,0,0,1.62,3.75,6
A,15,18,8,9,9,4,4,7,1,0,0,0,6,4.2,1.53
H,20,9,12,4,4,7,8,3,0,0,0,0,1.36,5,8.5
H,17,10,13,5,11,4,11,5,3,1,0,0,2.38,3.25,3.1
H,23,10,14,8,6,10,5,4,0,0,0,1,2.1,3.4,3.5
H,17,8,10,4,10,14,5,5,2,2,0,0,1.25,6,12
D,20,9,14,4,10,12,8,5,0,1,0,0,2.38,3.4,3
D,10,13,6,9,16,17,2,4,0,2,0,0,4.5,3.5,1.83
D,4,15,3,11,12,12,6,5,0,1,0,0,5,3.6,1.73
D,6,20,4,9,18,10,2,7,1,2,0,0,3.4,3.3,2.2
A,4,22,2,11,4,9,7,4,0,1,0,0,3.75,3.5,2
D,17,11,10,7,16,12,3,3,3,3,0,0,1.73,3.6,5
H,17,13,9,6,12,15,13,3,2,1,0,0,1.36,4.75,9
H,12,8,4,2,5,13,1,4,1,3,0,0,2.4,3.3,3
A,18,30,11,19,23,7,8,3,4,1,1,0,3,3.3,2.4
H,9,8,4,1,14,6,9,1,1,0,0,0,1.73,3.75,4.75
D,20,4,11,2,12,10,10,1,2,1,0,0,2.1,3.3,3.6
A,18,12,9,9,7,13,8,7,0,3,0,0,2.4,3.3,3
A,13,8,8,4,14,7,7,3,1,2,1,0,2.7,3.3,2.63
D,14,10,10,4,11,7,9,4,1,0,0,0,1.75,3.6,4.75
H,16,8,8,3,11,19,4,5,1,1,0,0,1.8,3.6,4.5
H,18,9,14,6,7,12,10,9,0,2,0,0,1.44,4.33,7.5
A,14,10,5,5,14,13,6,5,2,3,0,0,2.1,3.4,3.5
H,17,8,9,2,2,3,10,3,0,0,0,0,1.4,4.75,8
A,7,21,3,12,7,12,2,4,0,1,0,0,4.33,3.6,1.83
A,15,10,8,6,5,7,9,5,0,0,0,0,1.57,4,6
A,10,10,7,6,5,2,5,5,1,0,0,0,4.75,3.75,1.73
D,14,8,7,3,6,8,6,3,0,3,0,0,2.88,3.3,2.5
H,10,8,5,0,10,8,6,8,1,1,0,0,1.91,3.4,4.2
H,11,8,6,3,20,16,8,1,2,5,0,1,2,3.4,3.8
D,19,14,8,7,9,11,11,4,1,1,0,0,2.4,3.3,3
A,13,17,9,10,9,21,4,13,1,8,1,0,2.05,3.4,3.75
H,20,7,13,4,7,1,10,2,0,0,0,0,1.22,6.5,12
H,26,8,16,6,10,10,15,4,0,3,0,0,1.29,5.5,11
D,25,8,16,6,8,11,11,3,1,3,0,0,1.91,3.6,4
H,13,13,8,6,16,12,2,5,2,2,0,0,1.83,3.75,4.2
A,7,20,3,14,12,7,4,16,3,2,0,0,4,3.6,1.91
D,10,16,6,11,14,14,7,6,2,5,0,0,4.2,3.4,1.91
D,16,5,5,3,9,16,5,5,0,6,0,0,1.44,4.33,7.5
A,13,12,3,9,15,12,8,6,4,4,0,0,4.2,3.75,1.83
D,13,14,6,5,13,5,8,8,4,0,0,0,2.75,3.3,2.6
H,23,8,10,5,7,10,8,0,1,3,0,0,1.44,4.33,7.5
H,17,9,8,4,7,11,6,4,1,2,0,0,1.8,3.6,4.5
H,23,8,13,5,13,6,6,5,1,1,0,0,1.33,5,10
H,13,8,8,6,9,10,3,3,1,1,0,0,1.29,5.5,11
H,7,13,3,7,9,9,2,10,4,0,0,0,6,4.2,1.53
H,18,10,11,7,13,11,9,2,2,3,0,0,2.1,3.4,3.5
A,23,11,16,7,7,8,7,4,3,2,0,0,2.5,3.4,2.75
A,16,21,8,13,11,15,6,9,4,3,0,1,5,3.75,1.7
H,9,11,8,4,10,12,6,3,0,2,0,0,1.83,3.75,4.2
D,14,10,6,4,12,18,5,4,2,1,0,1,3.25,3.4,2.2
D,16,10,6,7,14,15,8,4,0,4,0,1,2.5,3.3,2.88
H,21,4,11,3,14,9,5,2,1,2,0,1,1.36,5,8.5
D,7,14,5,6,12,7,3,8,2,0,1,0,2,3.5,3.75
H,10,9,5,5,8,10,3,0,1,2,0,0,1.22,6,15
D,15,16,9,8,6,17,6,8,1,1,0,0,2.75,3.4,2.5
D,11,6,6,3,12,6,7,3,2,2,0,0,1.95,3.3,4.2
H,17,15,13,11,10,16,6,6,3,4,0,0,2.25,3.4,3.2
A,14,15,11,7,13,11,8,6,2,2,2,0,2.4,3.4,2.9
D,17,12,8,5,16,18,9,5,4,3,0,0,2.6,3.3,2.75
H,10,8,6,4,13,7,6,4,3,2,0,0,2,3.5,3.75
A,11,11,6,4,14,8,2,3,0,3,0,0,4.2,3.75,1.83
D,8,26,5,15,16,9,5,9,3,1,0,0,2.75,3.4,2.5
H,11,7,7,3,13,13,6,1,5,3,0,1,1.7,3.8,5
H,12,8,8,3,11,13,9,1,1,5,0,0,2.6,3.3,2.75
A,11,9,1,6,10,17,6,7,2,3,0,0,2.1,3.3,3.6
D,9,11,7,7,12,9,8,6,4,1,0,0,4.5,3.6,1.8
A,13,7,10,4,10,11,9,3,1,1,0,0,1.5,4.33,6.5
D,6,18,1,8,11,12,3,7,3,0,0,0,5,3.8,1.7
D,20,10,12,3,10,13,14,3,0,1,0,1,1.57,4,6
D,23,18,12,8,11,15,8,8,0,2,0,0,1.8,3.6,4.5
H,16,9,6,5,6,12,8,6,1,0,0,0,1.73,3.75,4.75
D,15,9,9,5,12,10,8,6,1,2,0,0,1.53,4.2,6
A,10,16,7,7,12,7,5,6,1,1,0,0,7,4.5,1.44
H,16,6,10,4,14,14,6,2,1,3,0,0,1.44,4.2,8
D,7,10,3,3,9,16,10,3,0,1,0,0,2.25,3.4,3.2
D,11,5,5,3,11,10,10,6,2,2,0,0,2.38,3.5,2.88
H,10,17,5,8,11,16,5,5,2,3,0,0,1.91,3.4,4.2
A,14,7,6,4,9,13,5,8,1,4,0,0,2.3,3.4,3.1
D,12,9,3,5,12,13,4,7,1,3,0,0,1.95,3.5,4
H,16,6,8,2,16,7,8,2,1,2,0,0,1.57,4,6
A,14,10,9,5,8,14,11,4,1,2,0,0,1.95,3.6,3.8
H,13,6,10,4,13,12,6,6,1,2,0,1,1.91,3.75,3.8
H,22,9,11,3,9,11,10,5,0,3,0,0,1.44,4.33,7.5
H,21,10,8,8,9,4,9,4,0,1,0,0,1.2,6.5,15
A,27,15,10,9,7,7,5,4,1,3,0,0,1.91,3.6,4
H,10,12,5,9,10,7,0,12,0,1,0,0,7,4.5,1.44
A,13,21,7,15,12,9,4,13,1,0,0,0,1.91,3.6,4
H,12,21,4,11,11,11,7,13,3,2,0,0,4.33,3.6,1.83
H,8,19,6,12,7,13,0,12,0,0,0,0,3.75,3.5,2
A,18,12,13,9,9,13,4,4,1,3,1,0,1.67,3.75,5.25
D,16,12,11,6,8,9,12,4,1,0,0,0,2,3.4,3.8
D,10,13,8,6,6,9,7,6,1,0,0,0,4.75,3.75,1.73
D,14,8,9,4,10,18,4,2,0,3,0,0,1.44,4.33,7.5
H,15,10,10,6,6,10,9,7,1,1,0,0,1.17,7.5,15
H,12,8,3,5,14,11,7,2,1,1,0,0,2.2,3.3,3.4
A,19,11,12,6,12,15,7,2,2,3,0,0,2.5,3.3,2.88
H,19,16,11,10,15,9,9,5,2,0,0,0,1.83,3.6,4.33
D,5,11,1,7,9,16,6,11,0,3,0,0,2.5,3.5,2.7
H,17,8,10,3,12,14,4,3,2,2,0,0,2.3,3.5,3
D,17,21,8,14,6,10,7,6,1,0,0,0,3.4,3.5,2.1
H,25,10,13,6,9,10,4,2,1,2,0,0,1.67,3.75,5.5
H,15,11,7,6,10,5,8,3,1,0,0,0,1.95,3.4,4
D,13,13,8,9,10,15,5,8,1,3,0,0,2.25,3.25,3.3
D,17,8,13,7,10,11,10,2,3,0,0,0,1.44,4.5,7
D,14,12,10,9,15,9,6,6,2,1,0,0,2.5,3.4,2.75
H,23,9,13,3,7,9,5,5,1,1,0,0,1.22,6.5,12
D,8,9,2,5,11,7,3,7,1,1,0,0,2,3.4,3.8
H,11,7,5,6,12,12,7,2,2,2,0,0,1.91,3.4,4.2
H,13,6,8,2,10,16,5,2,0,4,0,0,2.3,3.4,3.1
H,14,14,7,9,4,14,1,12,1,2,0,0,2.4,3.4,2.88
A,9,15,4,6,13,12,6,6,1,1,0,0,6,4.2,1.53
A,10,12,8,10,11,9,8,5,1,0,0,0,1.44,4.5,7
A,8,10,2,6,10,8,2,1,0,2,0,0,2.88,3.3,2.5
H,24,8,11,4,10,8,10,4,2,0,0,0,1.4,4.5,8.5
D,9,8,6,5,16,12,5,2,2,1,0,0,1.5,4,7
D,17,7,12,3,5,6,11,4,1,2,0,0,1.95,3.5,4
A,10,10,7,5,10,12,6,1,1,1,0,0,7.5,4.75,1.4
A,14,6,11,4,8,15,5,5,0,3,0,0,2.1,3.25,3.75
H,16,16,13,9,15,6,14,5,1,2,0,0,4,3.5,1.91
H,7,16,5,6,11,16,2,6,0,2,0,0,2.1,3.3,3.6
H,16,9,8,4,12,14,4,4,1,3,0,1,2,3.4,3.75
H,16,7,7,2,11,12,7,4,2,3,0,0,1.5,4.33,6.5
D,9,1,5,0,8,13,3,2,0,1,0,1,2.4,3.2,3.1
H,18,6,9,2,11,10,7,4,0,0,0,0,1.91,3.6,4
A,14,11,10,5,11,14,11,1,1,3,0,0,4.75,3.5,1.8
A,21,10,10,8,12,9,6,2,2,1,0,0,1.8,3.6,4.5
D,14,8,9,4,7,11,11,4,0,1,0,0,2.3,3.4,3.1
H,17,8,11,6,10,9,4,4,2,2,0,0,2,3.5,3.75
A,16,8,11,3,11,9,8,2,4,3,0,0,2.2,3.5,3.2
A,9,16,6,8,12,10,2,5,1,2,0,0,3,3.3,2.38
H,16,20,7,13,13,11,5,4,0,0,0,0,1.91,3.6,4
H,16,12,11,5,8,11,6,8,2,1,0,0,2,3.5,3.75
A,26,9,17,6,4,11,7,2,1,2,0,0,1.36,4.75,9
H,15,13,6,10,13,10,9,9,0,0,0,0,1.2,6.5,15
A,17,16,8,10,9,16,12,7,3,2,0,0,5.5,3.75,1.67
H,16,12,10,6,7,4,7,3,3,1,0,0,2.2,3.4,3.25
H,19,6,9,3,10,14,3,3,1,2,0,0,2.4,3.4,2.88
D,14,9,8,5,11,13,4,8,1,0,0,0,3.1,3.2,2.4
H,24,4,16,0,12,8,9,3,2,3,0,0,1.62,4,5.5
D,19,10,10,2,12,9,8,2,3,3,0,0,2,3.5,3.75
A,7,25,5,17,8,4,3,7,1,1,0,0,5.5,4,1.62
H,22,7,12,6,13,6,8,2,1,2,0,0,1.53,4,6.5
H,17,6,10,1,11,15,12,3,2,3,0,0,1.14,8,19
H,18,5,8,4,9,16,10,3,3,2,0,0,2.1,3.4,3.5
A,13,10,7,6,11,15,8,5,0,3,0,0,2,3.5,3.75
D,21,4,14,2,8,11,11,4,2,5,0,0,1.62,3.75,6
H,12,10,8,4,14,9,6,5,1,1,0,0,1.91,3.6,4
A,6,15,5,8,12,8,3,5,1,0,1,1,2.88,3.25,2.5
A,13,10,5,8,14,8,4,4,1,1,0,0,4.75,3.75,1.73
H,24,7,18,4,6,11,8,4,0,0,0,0,1.33,5.5,8.5
D,14,19,10,16,11,16,3,6,2,4,0,0,5,4,1.67
A,4,20,1,16,11,7,2,16,1,0,0,0,3.75,3.5,2
H,17,10,9,6,10,11,11,2,1,3,0,0,1.44,4.5,7
D,10,7,2,3,14,12,3,5,3,0,0,0,1.85,3.6,4.2
H,16,16,10,11,12,16,2,2,3,3,0,0,1.22,6.5,13
A,8,20,4,11,7,7,5,7,1,1,0,0,6,3.75,1.62
A,18,12,8,6,9,10,14,9,1,0,0,0,2.2,3.4,3.25
D,3,10,2,4,14,17,6,4,2,1,0,0,2.9,3.4,2.38
H,7,12,6,6,11,5,6,8,3,1,0,0,3.4,3.2,2.25
H,12,19,6,12,14,16,3,7,1,3,0,0,6.5,4,1.53
