FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
H,16,10,12,8,8,10,5,6,0,1,0,0,1.44,4.5,7
A,11,9,4,6,16,8,4,3,3,2,0,0,2.4,3.25,3
A,22,10,13,9,14,12,9,8,2,1,0,0,2.1,3.4,3.5
H,17,13,14,9,9,7,9,6,1,0,0,0,1.3,5.5,10
A,13,13,8,9,8,10,4,9,3,1,0,1,6,4,1.57
H,3,11,2,3,17,10,2,2,3,4,0,0,2.88,3.25,2.5
D,10,8,8,7,6,9,7,4,1,2,1,0,1.8,3.5,4.75
A,9,18,6,14,9,15,3,8,1,3,0,0,3.5,3.4,2.1
A,12,15,6,10,14,12,7,7,2,3,0,0,2.88,3.3,2.5
A,14,16,7,11,10,8,1,9,2,1,0,0,4,3.5,1.91
H,17,4,9,3,6,9,7,2,2,2,0,0,1.29,5.5,11
D,9,6,6,4,9,6,3,3,2,0,0,0,5,3.75,1.7
D,23,8,13,6,7,15,3,2,0,4,0,0,1.57,4,6
H,30,7,20,4,9,9,12,3,0,0,0,0,1.33,5,10
A,17,10,10,5,14,6,10,5,0,0,0,0,2,3.5,3.75
H,14,9,8,3,14,7,11,3,0,0,0,0,2.1,3.4,3.5
A,7,14,3,9,13,5,1,6,1,1,0,0,6,4.2,1.53
A,23,8,11,5,12,8,14,2,1,1,0,0,1.2,6.5,15
H,27,6,16,5,8,5,9,5,0,1,0,0,1.4,4.5,8.5
A,14,7,11,6,21,7,4,6,3,2,0,0,3,3.4,2.38
A,16,11,10,4,9,6,9,5,1,1,0,0,2.55,3.5,2.9
D,16,4,8,2,13,9,7,1,1,4,0,0,1.57,4.2,6.5
D,14,15,5,6,8,15,6,8,0,1,0,0,2.05,3.5,4
D,12,9,3,4,5,6,5,4,0,1,0,0,2.2,3.6,3.4
D,4,16,1,8,10,7,2,6,1,1,0,0,4.5,3.8,1.85
H,7,11,7,6,6,13,8,4,1,1,0,0,3,3.4,2.5
A,11,11,5,9,13,9,6,7,1,0,0,0,4.33,3.5,1.95
H,18,9,14,4,10,13,4,6,0,3,0,0,2.38,3.3,3.3
A,9,16,4,9,11,18,2,7,2,4,1,1,2.63,3.5,2.8
H,15,12,10,5,14,16,3,1,1,4,0,0,1.91,3.8,4.2
D,19,7,10,3,10,11,4,3,1,0,0,0,1.25,6.5,15
H,17,5,10,3,10,8,10,4,1,1,0,0,1.33,5.5,10.5
H,20,3,11,0,12,6,1,2,1,2,0,0,1.25,6.5,14
A,15,6,10,2,9,10,6,2,2,3,0,0,1.75,4,5
H,12,7,6,2,11,9,7,6,0,0,0,0,2.2,3.4,3.6
D,25,11,9,7,8,10,8,8,3,3,0,0,1.75,4,5
D,22,9,13,6,6,11,12,2,1,0,0,0,2.1,3.5,3.75
A,20,10,11,5,10,16,9,0,3,2,0,0,2.15,3.4,3.8
H,13,12,8,8,10,11,3,9,2,1,0,0,1.91,3.6,4
D,23,6,18,4,7,14,9,4,1,4,0,0,2.9,3.6,2.5
D,14,10,11,7,14,11,10,6,2,1,0,0,3.6,3.5,2.05
H,23,7,17,5,9,10,13,5,0,1,0,0,1.44,4.75,8
A,10,10,4,7,16,9,3,4,5,2,0,0,2.9,3.4,2.6
D,5,15,3,7,9,9,2,10,2,2,0,0,7.5,4.5,1.5
D,9,11,4,6,12,10,0,1,1,1,0,0,2.2,3.3,3.75
D,4,18,2,8,11,11,3,4,1,2,0,0,2.5,3.4,3
D,14,10,6,5,9,11,8,6,3,1,0,0,2.4,3.5,3.1
H,11,7,4,4,9,14,5,2,0,2,0,0,1.6,4.1,6.5
H,13,8,6,4,8,9,2,8,2,0,0,0,2.2,3.5,3.5
H,11,21,7,10,10,10,4,8,2,1,0,0,1.25,6.5,14
D,8,12,4,7,13,14,3,6,4,1,0,0,4.75,3.75,1.83
D,5,14,2,5,8,20,0,6,1,2,0,0,7.5,4.5,1.5
H,15,6,9,2,3,13,11,1,0,3,0,0,1.44,4.5,9
D,22,8,13,4,6,23,15,2,1,4,0,0,1.4,5,9
A,15,13,8,8,8,15,5,8,1,1,0,0,5.5,4.2,1.65
H,19,12,13,6,11,5,5,4,2,3,0,0,4,3.6,2
D,15,14,7,9,6,20,10,8,2,5,0,0,1.95,3.6,4.33
H,9,10,5,6,12,15,6,8,1,3,0,0,2.5,3.4,3
H,18,11,9,7,7,9,5,3,1,1,0,0,2.4,3.4,3.2
D,5,15,3,7,6,16,8,5,0,2,0,0,2.2,3.5,3.5
D,9,21,5,12,14,7,9,10,2,4,0,0,1.83,3.9,4.5
A,4,21,3,13,9,9,2,17,1,0,1,0,3.6,3.4,2.2
H,25,13,17,10,9,13,10,6,1,2,0,0,1.36,5.5,9.5
D,15,7,8,5,10,16,3,4,2,2,0,0,2.3,3.4,3.4
H,13,7,7,4,9,13,6,6,1,2,0,0,5.75,4,1.67
H,13,5,10,4,7,4,11,3,2,0,0,0,1.91,3.5,4.6
A,12,18,7,9,6,13,11,2,3,2,0,1,4.5,3.6,1.91
H,13,14,12,8,10,9,5,2,1,3,0,0,1.83,3.75,4.75
H,16,9,9,7,5,11,11,5,0,2,0,0,1.67,4,5.75
H,7,13,2,7,15,12,4,10,3,2,0,0,2.63,3.4,2.88
H,10,9,6,8,12,9,7,6,0,2,0,0,1.75,3.9,5
A,23,4,14,3,9,9,13,5,1,4,0,0,1.4,5,9
H,33,4,18,3,6,9,10,1,0,1,0,0,1.57,4.4,6
H,24,5,14,3,7,12,12,3,1,2,0,0,1.33,5.5,11
H,20,7,9,2,4,9,9,4,1,3,0,0,2.2,3.3,3.75
H,10,11,9,5,15,10,7,5,1,1,0,0,3.8,3.5,2.1
A,12,13,5,8,10,6,2,4,0,0,0,0,7,4.33,1.53
A,7,14,1,8,9,11,2,9,1,1,1,0,2.63,3.4,2.88
H,17,10,7,6,13,9,5,5,2,1,0,0,2.05,3.5,4
H,15,4,11,1,19,5,6,6,3,1,0,0,1.95,3.6,4.33
H,11,11,5,7,12,12,7,3,0,4,0,0,2.2,3.5,3.2
A,8,25,6,16,12,7,6,12,4,1,0,0,3.6,3.5,2.15
H,25,8,19,4,12,16,9,7,1,2,0,0,1.4,5,9
H,18,12,12,6,8,8,9,10,1,1,0,0,1.38,5,10
H,13,1,10,1,5,15,7,3,0,4,0,0,1.33,5.5,11
A,17,5,9,3,7,15,6,3,1,3,0,0,1.85,3.8,4.5
A,10,10,2,7,12,12,4,2,1,2,0,0,2.15,3.25,4
D,12,7,6,4,9,14,7,3,1,3,0,0,2.4,3.3,3.3
H,10,14,7,7,9,17,7,7,0,2,0,0,2.1,3.6,3.75
A,15,8,11,7,11,15,4,3,2,2,0,0,4.5,3.75,1.85
H,11,10,5,6,17,13,4,6,3,1,0,0,2.3,3.6,3.25
A,10,20,5,12,10,14,6,5,2,0,0,0,7.5,4.5,1.44
D,3,15,2,7,9,10,1,7,2,3,0,0,2.5,3.4,3
H,15,7,8,3,4,19,4,5,0,2,0,0,2.25,3.4,3.5
A,10,18,4,7,8,7,6,1,2,3,0,0,2.45,3.4,3.1
H,12,9,6,4,9,10,3,3,1,1,0,0,2.45,3.3,3.2
H,10,15,4,9,9,8,1,4,1,1,0,0,1.95,3.8,4
H,14,7,6,4,10,12,14,4,1,1,0,0,1.83,3.7,4.8
H,10,18,6,11,16,10,9,6,3,2,0,0,2.3,3.4,3.4
H,11,17,5,11,15,10,13,6,4,3,1,0,3.9,3.6,2.05
H,17,5,8,1,5,16,5,4,0,2,0,0,1.17,9,19
H,17,8,12,6,10,10,7,5,0,1,0,0,4.2,3.8,1.91
D,13,9,5,5,15,11,7,1,2,2,0,0,2.5,3.3,3.1
A,9,15,2,11,2,7,3,7,1,1,0,0,3.4,3.5,2.25
H,24,15,14,9,5,14,5,5,0,2,0,0,1.4,5,9
D,16,7,8,3,11,11,5,9,1,3,0,1,2.05,3.5,4
A,12,6,6,2,10,5,5,5,1,1,0,0,1.5,4.5,7.5
H,13,9,10,4,7,12,7,3,1,1,0,0,2.3,3.4,3.4
H,23,4,14,2,9,14,11,3,0,1,0,0,1.25,6.5,15
H,15,10,9,5,13,18,4,3,1,3,0,0,1.57,3.9,7.5
H,19,5,11,1,6,8,9,2,0,2,0,0,1.33,5.5,11
H,13,7,8,4,12,6,7,7,2,1,0,0,3.5,3.5,2.2
A,9,10,4,6,11,9,3,6,3,1,0,0,6,4,1.65
A,11,9,3,7,5,10,5,2,2,4,0,0,3.4,3.4,2.3
H,14,17,8,11,10,13,5,3,1,1,0,1,2.3,3.4,3.4
H,13,9,6,5,13,9,10,3,1,2,0,0,1.95,3.6,4.33
A,10,16,7,12,9,8,7,8,1,1,0,0,5,4,1.75
H,9,19,5,11,11,7,3,6,2,1,1,0,2,3.6,4
D,12,16,9,9,8,16,2,5,5,3,0,0,2.63,3.3,2.9
A,8,12,3,4,5,11,8,4,0,0,0,0,3.3,3.6,2.25
A,6,11,2,8,16,11,4,2,3,1,0,0,2.1,3.4,4
A,16,11,5,6,7,15,6,4,2,4,0,1,4.1,3.7,1.95
H,14,7,7,3,9,15,8,5,0,2,0,0,1.36,5,11
D,19,10,12,4,8,4,12,2,0,1,0,0,1.36,5.5,9
H,20,5,10,3,13,11,10,3,2,2,0,0,2.1,3.5,3.8
D,6,16,2,10,9,12,2,10,2,3,1,0,2.38,3.4,3.25
D,19,9,10,5,14,8,7,6,1,1,0,0,2.2,3.4,3.6
A,16,9,7,5,13,18,9,4,3,5,0,0,2.3,3.5,3.3
H,10,5,7,5,8,10,9,3,1,2,0,0,1.25,6.5,14
D,15,8,7,3,5,15,8,5,1,2,0,0,2.3,3.3,3.5
H,14,8,10,5,6,12,13,5,3,3,0,0,1.44,4.75,8
D,7,26,5,15,9,8,4,9,2,1,0,0,8,4.75,1.45
D,15,6,11,4,9,18,7,4,2,3,0,0,1.91,3.75,4.2
A,15,8,9,7,14,7,10,9,3,2,0,0,1.95,3.5,4.5
A,13,9,4,3,9,9,3,7,1,1,0,0,7,3.9,1.6
D,10,10,6,5,11,12,8,1,2,3,0,0,1.75,3.9,5
A,11,13,7,10,11,11,6,5,2,1,0,0,4.75,3.8,1.8
H,10,8,4,6,12,5,5,4,2,1,0,0,1.25,6.5,14
D,10,15,4,9,9,7,2,5,1,0,0,0,5.5,3.9,1.7
A,7,10,5,7,13,8,7,3,0,2,1,1,5,4,1.75
H,19,14,9,6,8,12,8,8,2,3,0,0,1.75,3.8,5.25
A,25,11,11,4,8,14,5,5,1,2,0,0,2.25,3.4,3.5
H,8,8,4,5,6,15,3,10,1,2,0,0,3.4,3.4,2.3
D,14,9,7,5,11,13,7,2,0,0,0,0,2.38,3.5,3.1
D,8,10,4,6,9,10,15,2,0,2,0,0,2.25,3.5,3.4
H,17,18,11,10,12,11,3,6,3,1,0,0,2.3,3.5,3.3
D,23,9,12,6,8,11,8,5,5,2,0,0,2.15,3.6,3.6
H,11,11,8,7,11,10,4,5,3,3,0,0,3.25,3.6,2.3
H,10,8,5,5,10,6,5,3,1,0,0,0,1.25,6.75,13
H,17,6,10,2,12,16,7,2,1,3,0,0,1.5,4.5,7.5
H,16,9,10,6,9,7,9,4,1,3,0,0,1.29,6,12
A,5,11,1,10,14,7,5,7,3,2,1,0,2.88,3.6,2.5
A,16,11,4,9,9,11,7,6,2,2,2,1,1.85,3.75,4.6
H,12,5,4,0,10,8,5,3,4,2,0,0,2.25,3.3,3.6
D,6,14,4,7,12,10,3,3,3,1,0,0,3.8,3.6,2.05
D,19,10,13,5,12,10,7,2,3,5,0,0,2.25,3.6,3.3
H,21,11,14,8,9,10,6,3,1,3,0,0,1.36,5.5,9
D,13,15,7,5,12,14,9,7,0,2,0,0,2.55,3.5,2.88
H,18,7,15,4,10,15,4,4,0,3,0,1,2.3,3.4,3.4
A,18,20,13,13,14,7,3,3,2,1,0,0,1.73,3.9,5.25
A,9,12,4,6,15,13,6,5,2,3,0,0,2.55,3.3,3
A,14,13,6,11,8,6,3,7,2,1,0,0,8,4.75,1.44
D,7,12,1,8,9,10,4,4,0,0,0,0,5.25,3.8,1.75
H,7,10,4,6,8,9,5,5,1,1,0,0,1.44,4.75,8
A,17,13,11,8,9,7,7,5,4,3,0,0,2.45,3.5,3
D,9,11,3,6,12,12,7,3,1,1,0,0,2.38,3.4,3.25
D,16,11,8,4,10,10,3,5,1,2,0,0,1.95,3.6,4.2
A,10,15,4,6,14,9,2,7,2,1,1,0,2.2,3.5,3.5
D,14,11,7,7,6,12,5,6,2,2,1,0,2.1,3.3,4
H,21,20,9,11,10,9,6,8,2,1,0,0,1.4,5,9
A,14,10,11,6,14,13,4,4,2,2,0,0,1.83,3.75,4.75
D,15,13,8,6,6,16,6,5,1,2,0,0,1.95,3.75,4
A,12,11,7,8,13,8,6,7,2,3,1,1,4.5,3.8,1.85
H,23,7,13,2,8,11,7,1,1,2,0,0,1.5,4.5,7.5
A,10,20,8,14,2,10,7,8,0,1,0,0,3.9,3.6,2.05
H,16,5,9,2,5,6,7,5,0,0,0,0,1.3,5.75,12
H,11,8,8,5,10,7,8,2,2,1,0,0,2.2,3.4,3.6
A,8,10,3,7,8,8,2,2,1,3,0,1,3.4,3.4,2.3
A,6,23,3,15,11,5,2,11,4,1,1,0,4.5,3.6,1.91
D,5,15,5,10,9,10,3,10,0,2,0,0,2.8,3.2,2.8
H,19,10,12,5,11,11,7,4,0,2,0,0,1.4,5.5,8
A,11,27,7,20,6,7,4,10,0,1,0,0,6,4.33,1.6
H,20,16,10,9,7,8,7,4,2,2,0,0,1.7,4,5.5
H,27,10,20,3,7,3,14,0,1,3,0,0,1.25,7,12
A,12,12,5,7,10,8,7,7,1,0,0,0,1.33,5.5,11
A,7,9,2,3,17,10,4,4,1,2,0,0,6,4.6,1.55
D,11,7,7,3,9,7,3,4,0,2,0,0,1.75,3.8,5.25
A,19,8,11,6,12,9,8,0,2,1,0,0,1.8,3.8,4.75
H,23,6,19,4,6,12,14,1,1,3,0,1,1.29,6,12
D,15,12,8,8,10,6,3,5,0,1,0,0,4.5,3.9,1.83
H,21,17,12,7,14,8,6,4,2,1,0,0,1.67,4,5.75
D,12,5,6,2,8,12,4,2,2,1,0,0,2.15,3.6,3.6
