total,bet,net,inst,actual,predicted,probability,oddsH,oddsD,oddsA
-20,Make bet on a draw!,-20,1,H,D,0.765,2.05,3.5,4
-40,Make bet on a draw!,-20,2,H,D,0.647,1.95,3.6,4.33
-60,Make bet on away team!,-20,3,H,A,0.496,2.2,3.5,3.2
-60,Don't make bet!,0,4,A,A,0.073,3.6,3.5,2.15
-52.0,Make bet on home team!,8.0,5,H,H,0.999,1.4,5,9
-44.4,Make bet on home team!,7.6,6,H,H,1,1.38,5,10
-37.8,Make bet on home team!,6.6,7,H,H,1,1.33,5.5,11
-57.8,Make bet on a draw!,-20,8,A,D,0.933,1.85,3.8,4.5
-77.8,Make bet on a draw!,-20,9,A,D,0.929,2.15,3.25,4
-31.8,Make bet on a draw!,46.0,10,D,D,0.708,2.4,3.3,3.3
-51.8,Make bet on a draw!,-20,11,H,D,0.895,2.1,3.6,3.75
-51.8,Don't make bet!,0,12,A,A,0.163,4.5,3.75,1.85
-71.8,Make bet on a draw!,-20,13,H,D,0.704,2.3,3.6,3.25
-71.8,Don't make bet!,0,14,A,A,0.002,7.5,4.5,1.44
-23.8,Make bet on a draw!,48.0,15,D,D,0.754,2.5,3.4,3
-43.8,Make bet on a draw!,-20,16,H,D,0.719,2.25,3.4,3.5
-63.8,Make bet on a draw!,-20,17,A,D,0.899,2.45,3.4,3.1
-83.8,Make bet on away team!,-20,18,H,A,0.36,2.45,3.3,3.2
-103.8,Make bet on away team!,-20,19,H,A,0.473,1.95,3.8,4
-87.2,Make bet on home team!,16.6,20,H,H,0.973,1.83,3.7,4.8
-107.2,Make bet on a draw!,-20,21,H,D,0.753,2.3,3.4,3.4
-127.2,Make bet on away team!,-20,22,H,A,0.445,3.9,3.6,2.05
-123.8,Make bet on home team!,3.4,23,H,H,1,1.17,9,19
-123.8,Don't make bet!,0,24,H,A,0.237,4.2,3.8,1.91
-77.8,Make bet on a draw!,46.0,25,D,D,0.714,2.5,3.3,3.1
-52.8,Make bet on away team!,25.0,26,A,A,0.376,3.4,3.5,2.25
-44.8,Make bet on home team!,8.0,27,H,H,1,1.4,5,9
5.2,Make bet on a draw!,50.0,28,D,D,0.896,2.05,3.5,4
-14.8,Make bet on home team!,-20,29,A,H,0.999,1.5,4.5,7.5
-34.8,Make bet on a draw!,-20,30,H,D,0.565,2.3,3.4,3.4
-29.8,Make bet on home team!,5.0,31,H,H,1,1.25,6.5,15
-18.4,Make bet on home team!,11.4,32,H,H,1,1.57,3.9,7.5
-11.8,Make bet on home team!,6.6,33,H,H,1,1.33,5.5,11
-11.8,Don't make bet!,0,34,H,A,0.128,3.5,3.5,2.2
-11.8,Don't make bet!,0,35,A,A,0.004,6,4,1.65
-11.8,Don't make bet!,0,36,A,A,0.202,3.4,3.4,2.3
-31.8,Make bet on away team!,-20,37,H,A,0.457,2.3,3.4,3.4
-51.8,Make bet on a draw!,-20,38,H,D,0.856,1.95,3.6,4.33
-51.8,Don't make bet!,0,39,A,A,0.094,5,4,1.75
-31.8,Make bet on home team!,20.0,40,H,H,0.887,2,3.6,4
14.2,Make bet on a draw!,46.0,41,D,D,0.682,2.63,3.3,2.9
-5.8,Make bet on a draw!,-20,42,A,D,0.597,3.3,3.6,2.25
-25.8,Make bet on a draw!,-20,43,A,D,0.957,2.1,3.4,4
-25.8,Don't make bet!,0,44,A,A,0.09,4.1,3.7,1.95
-18.6,Make bet on home team!,7.2,45,H,H,1,1.36,5,11
-38.6,Make bet on home team!,-20,46,D,H,1,1.36,5.5,9
-58.6,Make bet on away team!,-20,47,H,A,0.358,2.1,3.5,3.8
-78.6,Make bet on away team!,-20,48,D,A,0.464,2.38,3.4,3.25
-30.6,Make bet on a draw!,48.0,49,D,D,0.803,2.2,3.4,3.6
15.4,Make bet on away team!,46.0,50,A,A,0.517,2.3,3.5,3.3
20.4,Make bet on home team!,5.0,51,H,H,1,1.25,6.5,14
66.4,Make bet on a draw!,46.0,52,D,D,0.601,2.3,3.3,3.5
75.2,Make bet on home team!,8.8,53,H,H,1,1.44,4.75,8
75.2,Don't make bet!,0,54,D,A,0.005,8,4.75,1.45
130.2,Make bet on a draw!,55.0,55,D,D,0.756,1.91,3.75,4.2
110.2,Make bet on home team!,-20,56,A,H,0.733,1.95,3.5,4.5
110.2,Don't make bet!,0,57,A,A,0.006,7,3.9,1.6
168.2,Make bet on a draw!,58.0,58,D,D,0.665,1.75,3.9,5
168.2,Don't make bet!,0,59,A,A,0.041,4.75,3.8,1.8
173.2,Make bet on home team!,5.0,60,H,H,1,1.25,6.5,14
173.2,Don't make bet!,0,61,D,A,0.009,5.5,3.9,1.7
173.2,Don't make bet!,0,62,A,A,0.042,5,4,1.75
153.2,Make bet on a draw!,-20,63,H,D,0.973,1.75,3.8,5.25
133.2,Make bet on a draw!,-20,64,A,D,0.956,2.25,3.4,3.5
133.2,Don't make bet!,0,65,H,A,0.233,3.4,3.4,2.3
183.2,Make bet on a draw!,50.0,66,D,D,0.724,2.38,3.5,3.1
163.2,Make bet on home team!,-20,67,D,H,0.889,2.25,3.5,3.4
143.2,Make bet on a draw!,-20,68,H,D,0.66,2.3,3.5,3.3
123.2,Make bet on away team!,-20,69,D,A,0.334,2.15,3.6,3.6
103.2,Make bet on away team!,-20,70,H,A,0.381,3.25,3.6,2.3
108.2,Make bet on home team!,5.0,71,H,H,1,1.25,6.75,13
118.2,Make bet on home team!,10.0,72,H,H,1,1.5,4.5,7.5
124.0,Make bet on home team!,5.8,73,H,H,1,1.29,6,12
124.0,Don't make bet!,0,74,A,A,0.187,2.88,3.6,2.5
104.0,Make bet on home team!,-20,75,A,H,0.854,1.85,3.75,4.6
84.0,Make bet on a draw!,-20,76,H,D,0.979,2.25,3.3,3.6
84.0,Don't make bet!,0,77,D,A,0.04,3.8,3.6,2.05
84.0,Don't make bet!,0,78,D,A,0.163,2.25,3.6,3.3
91.2,Make bet on home team!,7.2,79,H,H,1,1.36,5.5,9
141.2,Make bet on a draw!,50.0,80,D,D,0.844,2.55,3.5,2.88
121.2,Make bet on a draw!,-20,81,H,D,0.652,2.3,3.4,3.4
101.2,Make bet on home team!,-20,82,A,H,0.954,1.73,3.9,5.25
81.2,Make bet on a draw!,-20,83,A,D,0.829,2.55,3.3,3
81.2,Don't make bet!,0,84,A,A,0.001,8,4.75,1.44
81.2,Don't make bet!,0,85,D,A,0.086,5.25,3.8,1.75
90.0,Make bet on home team!,8.8,86,H,H,0.999,1.44,4.75,8
130.0,Make bet on away team!,40.0,87,A,A,0.615,2.45,3.5,3
110.0,Make bet on home team!,-20,88,D,H,0.973,2.38,3.4,3.25
162.0,Make bet on a draw!,52.0,89,D,D,0.748,1.95,3.6,4.2
162.0,Don't make bet!,0,90,A,A,0.246,2.2,3.5,3.5
208.0,Make bet on a draw!,46.0,91,D,D,0.904,2.1,3.3,4
216.0,Make bet on home team!,8.0,92,H,H,1,1.4,5,9
196.0,Make bet on a draw!,-20,93,A,D,0.601,1.83,3.75,4.75
176.0,Make bet on away team!,-20,94,D,A,0.434,1.95,3.75,4
176.0,Don't make bet!,0,95,A,A,0.037,4.5,3.8,1.85
186.0,Make bet on home team!,10.0,96,H,H,0.998,1.5,4.5,7.5
186.0,Don't make bet!,0,97,A,A,0.159,3.9,3.6,2.05
192.0,Make bet on home team!,6.0,98,H,H,1,1.3,5.75,12
172.0,Make bet on a draw!,-20,99,H,D,0.595,2.2,3.4,3.6
152.0,Make bet on a draw!,-20,100,A,D,0.775,3.4,3.4,2.3
152.0,Don't make bet!,0,101,A,A,0.154,4.5,3.6,1.91
196.0,Make bet on a draw!,44.0,102,D,D,0.66,2.8,3.2,2.8
204.0,Make bet on home team!,8.0,103,H,H,1,1.4,5.5,8
204.0,Don't make bet!,0,104,A,A,0.034,6,4.33,1.6
184.0,Make bet on a draw!,-20,105,H,D,0.817,1.7,4,5.5
189.0,Make bet on home team!,5.0,106,H,H,1,1.25,7,12
169.0,Make bet on home team!,-20,107,A,H,1,1.33,5.5,11
169.0,Don't make bet!,0,108,A,A,0.006,6,4.6,1.55
225.0,Make bet on a draw!,56.0,109,D,D,0.963,1.75,3.8,5.25
205.0,Make bet on home team!,-20,110,A,H,0.973,1.8,3.8,4.75
210.8,Make bet on home team!,5.8,111,H,H,1,1.29,6,12
210.8,Don't make bet!,0,112,D,A,0.015,4.5,3.9,1.83
224.2,Make bet on home team!,13.4,113,H,H,0.972,1.67,4,5.75
276.2,Make bet on a draw!,52.0,114,D,D,0.594,2.15,3.6,3.6
